date,from_country,to_country
2/4/20,China,Canada
2/4/20,China,Taiwan
2/4/20,China,Australia
2/4/20,China,Belgium
2/5/20,Singapore,South Korea
2/6/20,China,Italy
2/6/20,China,Autralia
2/10/20,China,Singapore
2/11/20,China,Japan
2/13/20,China,United States of America
2/13/20,China,Malaysia
2/15/20,Cambodia,Malaysia
2/15/20,China,Malaysia
2/16/20,China,Taiwan
2/17/20,China,Singapore
2/19/20,China,Japan
2/20/20,Japan,Australia
2/21/20,China,United States of America
2/21/20,Japan,United States of America
2/21/20,Japan,Australia
2/21/20,Japan,Israel
2/21/20,Iran,Canada
2/22/20,Iran,United Arab Emirates
2/22/20,Japan,Australia
2/23/20,Japan,Israel
2/23/20,Japan,United Kingdom
2/23/20,Japan,Australia
2/24/20,Italy,Spain
2/24/20,Iran,Oman
2/24/20,Iran,Iraq
2/24/20,Iran,Kuwait
2/26/20,Italy,Germany
2/26/20,Italy,Romania
2/26/20,Italy,Spain
2/26/20,China,Norway
2/26/20,Iran,Georgia
2/26/20,Italy,Sweden
2/26/20,Iran ,Lebanon
2/26/20,Italy,North Macedonia
2/26/20,Italy,Finland
2/26/20,Iran,Lebanon
2/26/20,China,Germany
2/26/20,Italy,Spain
2/26/20,Italy,Greece
2/26/20,Iran,Kuwait
2/26/20,Italy,Croatia
2/26/20,Iran,Bahrain
2/27/20,Italy,Germany
2/27/20,Iran,Iraq
2/27/20,Italy,Netherlands
2/27/20,Italy,Norway
2/27/20,Iran,Norway
2/27/20,Italy,Spain
2/27/20,Italy,United Kingdom
2/27/20,Italy,Austria 
2/27/20,Iran,Sweden
2/27/20,Germany,Sweden
2/27/20,Italy,Sweden
2/27/20,Iran,Oman
2/27/20,Iran,Lebanon
2/27/20,Italy,Greece
2/27/20,Italy,Israel
2/27/20,Italy,United Kingdom
2/27/20,Italy,Switzerland
2/27/20,Italy,Spain
2/27/20,Italy,Estonia
2/27/20,Italy,Denmark
2/28/20,Italy,Mexico
2/28/20,Iran,Canada
2/28/20,Italy,Denmark
2/28/20,Italy,Norway
2/28/20,Italy,United Kingdom
2/28/20,Iran,United Kingdom
2/28/20,Italy,France
2/28/20,Italy,Austria 
2/28/20,Italy,Iceland
2/28/20,Italy,Romania
2/28/20,Italy,Spain
2/28/20,Italy,Greece
2/28/20,Italy,Croatia
2/28/20,Iran,Belarus
2/28/20,Italy,Lithuania
2/28/20,Italy,Israel
2/28/20,Iran,Iraq
2/28/20,Italy,Nigeria
2/28/20,Iran,New Zealand
2/29/20,Italy,Mexico
2/29/20,Iran,Canada
2/29/20,Egypt,Canada
2/29/20,Italy,Ireland
2/29/20,Italy,Netherlands
2/29/20,Italy,Luxembourg
2/29/20,Italy,Spain
2/29/20,Italy,Switzerland
2/29/20,Italy,United Kingdom
2/29/20,Iran,Georgia
2/29/20,Italy,Norway
2/29/20,Italy,Brazil
2/29/20,Spain,Ecuador
3/1/20,Italy,Denmark
3/1/20,Italy,Scotland
3/1/20,Italy,United Kingdom
3/1/20,Iran,United Kingdom
3/1/20,Italy,Iceland
3/1/20,Italy,Finland
3/1/20,Italy,Czech Republic
3/2/20,Italy,Morocco
3/2/20,Italy,United States of America
3/2/20,Egypt,United States of America
3/2/20,Italy,Iceland
3/2/20,Iran,Saudi Arabia
3/2/20,Iran,Bahrain
3/2/20,Italy,India
3/2/20,Italy,Tunisia
3/2/20,Italy,Jordan
3/2/20,Italy,Netherlands
3/2/20,Italy,Russia
3/2/20,Italy,Portugal
3/2/20,Spain,Portugal
3/2/20,Italy,Belgium
3/2/20,Iran,Iraq
3/2/20,Italy,Andorra
3/2/20,Iran,Kuwait
3/2/20,Iran,Tasmania
3/3/20,Italy,Spain
3/3/20,Italy,New Zealand
3/3/20,Egypt,Canada
3/3/20,Iran,Canada
3/3/20,Italy,Ireland
3/3/20,Italy,Denmark
3/3/20,Switzerland,Liechtenstein
3/3/20,China,Sweden
3/3/20,Iran,Oman
3/3/20,Italy,Iceland
3/3/20,Italy,China
3/3/20,Italy,Romania
3/3/20,Italy,Sweden
3/3/20,Italy,Ukraine
3/3/20,Italy,Czech Republic
3/3/20,Italy,India
3/3/20,Iran,Qatar
3/3/20,Italy,United States of America
3/4/20,Italy,Slovenia
3/4/20,Italy,Norway
3/4/20,Italy,Iceland
3/4/20,Austria,Iceland
3/4/20,France,Denmark
3/4/20,Prague,Czech Republic
3/4/20,Italy,Belgium
3/4/20,Germany,Poland
3/4/20,Italy,Portugal
3/4/20,Iran,Saudi Arabia
3/4/20,Italy,Israel
3/4/20,Iran,Australia
3/4/20,Italy,India
3/5/20,Italy,Argentina
3/5/20,Italy,Chile
3/5/20,Italy,Hungary
3/5/20,Italy,United States of America
3/5/20,Egypt,United States of America
3/5/20,Italy,Luxembourg
3/5/20,Italy,Oman
3/5/20,Italy,Portugal
3/5/20,Italy,South Africa
3/5/20,Italy,Georgia
3/5/20,Italy,Finland
3/5/20,Italy,Bosnia and Herzegovina
3/5/20,Italy,Morocco
3/5/20,Italy,Thailand
3/5/20,Iran,Thailand
3/6/20,Italy,United States of America
3/6/20,United States of America,Costa Rica
3/6/20,Italy,Colombia
3/6/20,Italy,Ireland
3/6/20,Italy,Slovenia
3/6/20,Italy,Poland
3/6/20,Italy,Romania
3/6/20,Iran,Qatar
3/6/20,Italy,Portugal
3/6/20,Italy,Russia
3/6/20,Italy,Brazil
3/6/20,Israel,Greece
3/6/20,Iran,Azerbaijan
3/6/20,Italy,Slovakia
3/6/20,Hungary,Serbia
3/6/20,Japan,Philippines
3/6/20,United States of America,Canada
3/6/20,Iran,Canada
3/6/20,Bhutan,United States of America
3/7/20,Italy,United States of America
3/7/20,Italy,Luxembourg
3/7/20,France,Argentina
3/7/20,Spain,Israel
3/7/20,Italy,Israel
3/7/20,Greece,Israel
3/7/20,Italy,Moldova
3/7/20,Italy,Ireland
3/7/20,Switzerland,Russia
3/7/20,Italy,Romania
3/7/20,Italy,Czech Republic
3/7/20,Iran,Saudi Arabia
3/7/20,Iraq,Saudi Arabia
3/7/20,Italy,Slovenia
3/7/20,Spain,Slovenia
3/7/20,Austria,Slovenia
3/7/20,Germany,Poland
3/7/20,Italy,Belgium
3/7/20,Iran,India
3/7/20,Oman,India
3/7/20,Italy,Croatia
3/7/20,Italy,Finland
3/7/20,Italy,Georgia
3/7/20,Italy,Slovakia
3/7/20,South Korea,Vietnam
3/7/20,Iran,Qatar
3/8/20,Italy,Albania
3/8/20,Italy,United States of America
3/8/20,Italy,United Kingdom
3/8/20,Italy,Romania
3/8/20,Taiwan,Philippines
3/8/20,Japan,Philippines
3/8/20,Italy,Dominican Republic
3/8/20,Italy,Czech Republic
3/8/20,United States of America,Czech Republic
3/8/20,Spain,Algeria
3/8/20,Italy,Portugal
3/8/20,United Kingdom,Vietnam
3/8/20,Mexico,Vietnam
3/8/20,Iceland,Vietnam
3/8/20,United States of America,Sweden
3/8/20,Italy,Hungary
3/8/20,Germany,Poland
3/8/20,Italy,Poland
3/8/20,Italy,Bangladesh
3/8/20,Italy,Latvia
3/8/20,Italy,South Africa
3/8/20,Iran,Saudi Arabia
3/8/20,Italy,Finland
3/8/20,Japan,Indonesia
3/8/20,Iran,Australia
3/9/20,Italy,Russia
3/9/20,Switzerland,Israel
3/9/20,Austria,Israel
3/9/20,Malaysia,Brunei
3/9/20,Iran,Oman
3/9/20,Italy,Iceland
3/9/20,Italy,United Arab Emirates
3/9/20,Bangladesh,United Arab Emirates
3/9/20,Nepal,United Arab Emirates
3/9/20,Russia,United Arab Emirates
3/9/20,Syria,United Arab Emirates
3/9/20,India,United Arab Emirates
3/9/20,United States of America,Australia
3/9/20,Iran,Australia
3/9/20,Egypt,United States of America
3/10/20,Italy,Bolivia
3/10/20,Itay,Canada
3/10/20,Argentina,Paraguay
3/10/20,Italy,Moldova
3/10/20,Italy,Brazil
3/10/20,Italy,Malta
3/10/20,Egypt,Lebanon
3/10/20,Israel,Greece
3/10/20,Italy,Latvia
3/10/20,Egypt,Kuwait
3/10/20,Iran,Kuwait
3/10/20,Germany,Cyprus
3/10/20,Italy,Thailand
3/10/20,Italy,Finland
3/10/20,France,Mongolia
3/11/20,Italy,Australia
3/11/20,Italy,Mexico
3/11/20,Spain,Honduras
3/11/20,Switzerland,Honduras
3/11/20,Italy,South Africa
3/11/20,Germany,South Africa
3/11/20,Portugal,South Africa
3/11/20,Iran,Bahrain
3/11/20,Germany,Croatia
3/11/20,Italy,Albania
3/11/20,New York,Saudi Arabia
3/11/20,Italy,Romania
3/11/20,France,Singapore
3/11/20,Italy,Latvia
3/11/20,Egypt,Tunisia
3/11/20,Hawaii,Canada
3/12/20,France,Algeria
3/12/20,Azerbaijan,Kuwait
3/12/20,Iran,Kuwait
3/12/20,Turkey,South Africa
3/12/20,United States of America,South Africa
3/12/20,Austria,Bosnia and Herzegovina
3/12/20,Italy,United Kingdom
3/12/20,Italy,Armenia
3/12/20,Italy,Albania
3/12/20,Italy,Moldova
3/12/20,Italy,Senegal
3/12/20,Iran,Pakistan
3/12/20,United Kingdom,Cyprus
3/12/20,Iran,Azerbaijan
